mse,vol_ratio,sharpe,strat_vol,mkt_vol,pos_mean,pos_std,pos_min,pos_max,fold,k,phase
0.0001492697161139344,1.0264048281672904,0.7131019610667619,0.012392765808093294,0.012073955098419936,0.5471484065055847,0.7578214406967163,0.0,2.0,1,1000.0,phase1_k_grid
9.743205388554156e-05,1.580100634156119,0.6955543135409382,0.015485971085560725,0.009800623296269535,1.246297836303711,0.7662257552146912,0.0,2.0,2,1000.0,phase1_k_grid
0.00018143976154518188,1.6196368424065168,0.4034799709308606,0.021489535988972318,0.013268120004631633,1.08821702003479,0.704792857170105,0.0,2.0,3,1000.0,phase1_k_grid
6.795636838009215e-05,1.3242106511805336,0.995504541076451,0.010848586219028055,0.00819249279512783,0.845943033695221,0.5868310928344727,0.0,2.0,4,1000.0,phase1_k_grid
0.000131659280505658,1.4375105483675021,0.5131618292689466,0.01633698646296341,0.011364776753475919,0.7796279788017273,0.7098064422607422,0.0,2.0,5,1000.0,phase1_k_grid
0.0001492697161139344,1.0605725836246325,0.7125780933362682,0.012805305753299035,0.012073955098419936,0.5359509587287903,0.818666934967041,0.0,2.0,1,2000.0,phase1_k_grid
9.743205388554156e-05,1.6407833131397804,0.7216754755067399,0.016080699162888044,0.009800623296269535,1.2833770513534546,0.85838383436203,0.0,2.0,2,2000.0,phase1_k_grid
0.00018143976154518188,1.6556706388181412,0.43948574937187596,0.021967636723984215,0.013268120004631633,1.0433144569396973,0.8306189775466919,0.0,2.0,3,2000.0,phase1_k_grid
6.795636838009215e-05,1.358610608796928,1.0851843152807295,0.01113040762395307,0.00819249279512783,0.788373589515686,0.7380309700965881,0.0,2.0,4,2000.0,phase1_k_grid
0.000131659280505658,1.4740745868487348,0.48916289163438964,0.016752528597508122,0.011364776753475919,0.7217063307762146,0.8228458166122437,0.0,2.0,5,2000.0,phase1_k_grid
0.0001492697161139344,1.0722015991531615,0.7315358027675841,0.012945713964629322,0.012073955098419936,0.5349620580673218,0.8396807909011841,0.0,2.0,1,3000.0,phase1_k_grid
9.743205388554156e-05,1.6663471217457746,0.7107303006335042,0.016331240421053324,0.009800623296269535,1.2943445444107056,0.8892098069190979,0.0,2.0,2,3000.0,phase1_k_grid
0.00018143976154518188,1.671067442040821,0.4726831031807449,0.02217192335683043,0.013268120004631633,1.025222897529602,0.8861250281333923,0.0,2.0,3,3000.0,phase1_k_grid
6.795636838009215e-05,1.3769825154447382,1.1050262871267802,0.011280919336798013,0.00819249279512783,0.7619838118553162,0.8088517189025879,0.0,2.0,4,3000.0,phase1_k_grid
0.000131659280505658,1.489035386750001,0.4739617141593135,0.016922554748439435,0.011364776753475919,0.7065733075141907,0.8610838055610657,0.0,2.0,5,3000.0,phase1_k_grid
