feature,imp_q10,imp_q90,imp_q50,imp_tail
V7²,0.0064846585,0.007455597,0.008937242,0.006970128
E19*P7,0.0059031034,0.007995551,0.010035826,0.0069493274
P12,0.0069728317,0.006874145,0.008318484,0.0069234883
V13²,0.0072001168,0.0066262116,0.007911242,0.006913164
M2,0.007475932,0.0062155616,0.008611891,0.006845747
I2/P5,0.00758511,0.0060730143,0.008891697,0.0068290625
I2,0.006581343,0.006994898,0.007045869,0.0067881206
V13*P8,0.008179206,0.0053602206,0.00968571,0.0067697135
S2,0.0073080175,0.006122054,0.0063881543,0.006715036
P5*P7,0.0070194677,0.006409646,0.009086979,0.006714557
M4/P8,0.007846659,0.00557165,0.010714658,0.0067091547
V9,0.0068280976,0.006535034,0.007378287,0.006681566
S2²,0.007831222,0.0055020987,0.009586461,0.0066666603
S5,0.005738834,0.007478168,0.0064987894,0.006608501
P8*I2,0.0075676395,0.0055626603,0.009113145,0.00656515
M3,0.0062132566,0.006906257,0.008257792,0.0065597566
M4²,0.007520583,0.005496084,0.009075481,0.0065083336
V13/S2,0.0069212164,0.005803662,0.008881524,0.006362439
I2*P5,0.0067705032,0.005702095,0.008957716,0.006236299
P8,0.0072489125,0.005117002,0.0049360706,0.0061829574
V7,0.0057409494,0.005125263,0.0046822894,0.005433106
V13,0.0052152164,0.0050217328,0.0041130227,0.0051184744
V13/P8,0.0056473506,0.0045385123,0.008573489,0.0050929314
M4,0.004535854,0.004435535,0.005950817,0.0044856947
V7³,0.0,0.0,0.0,0.0
V13³,0.0,0.0,0.0,0.0
P8³,0.0,0.0,0.0,0.0
M4³,0.0,0.0,0.0,0.0
S2³,0.0,0.0,0.0,0.0
