fold,sharpe,pos_mean,pos_std,pred_std
1,0.5051225700331667,1.0262383,0.09449518,0.0003779807
2,0.3615332016457734,0.9230566,0.351678,0.0015699483
3,0.2604150470217,1.0580481,0.5347304,0.002904134
4,0.8407595652591874,0.92107445,0.33882076,0.0021479966
5,0.8185377156232703,0.9999734,0.36810553,0.002042688
