fold,sharpe,val_loss,pos_mean,pos_std,pred_std
1,0.3353680018690297,0.26729531887364527,1.6787729,0.63415676,0.3420352
2,0.03410702773208833,0.5014047552170572,0.18361716,0.39048207,0.55345654
3,0.555892208022677,0.0002412207850284176,0.80896324,0.8759004,0.00812081
4,0.9491696624432041,6.840171037462521e-05,0.84428686,0.1952766,0.0010635811
5,0.8606691117685846,0.0001266592750350052,1.1062647,0.13536605,0.0005746795
