mse,vol_ratio,sharpe,strat_vol,mkt_vol,pos_mean,pos_std,pos_min,pos_max,fold,k,hypothesis
0.00015048373032029093,1.0034559280390647,0.48723907588319365,0.012115681818386974,0.012073955098419936,0.9703456163406372,0.10797953605651855,0.7207144498825073,1.3938111066818237,1,50,H1_xgboost
0.00010154834269953873,1.1286505096359027,0.35771335731312415,0.011061478478084112,0.009800623296269535,1.0854127407073975,0.10478216409683228,0.6953795552253723,1.8279277086257935,2,50,H1_xgboost
0.00018262630920792402,1.1350166796456287,0.3523807346256777,0.01505953751279674,0.013268120004631633,1.0250722169876099,0.12276572734117508,0.7835376858711243,1.7106328010559082,3,50,H1_xgboost
6.78876200563022e-05,1.0278307253929548,0.9174863191608802,0.008420495812392794,0.00819249279512783,0.9626038074493408,0.07365149259567261,0.7834625244140625,1.7248319387435913,4,50,H1_xgboost
0.00013122698873547484,1.1324951031128674,0.8018484445930595,0.01287055402128243,0.011364776753475919,1.0110281705856323,0.10403352230787277,0.7192310094833374,1.9564619064331055,5,50,H1_xgboost
0.00015048373032029093,1.021294364082582,0.48934331662672653,0.012331062294202437,0.012073955098419936,0.9406911730766296,0.2159590721130371,0.44142889976501465,1.7876222133636475,1,100,H1_xgboost
0.00010154834269953873,1.257802282540018,0.40862079922037375,0.012327246352362695,0.009800623296269535,1.1700488328933716,0.20538832247257233,0.39075911045074463,2.0,2,100,H1_xgboost
0.00018262630920792402,1.2726432183553733,0.3333367535927476,0.016885582944219713,0.013268120004631633,1.047285795211792,0.2324051707983017,0.5670753717422485,2.0,3,100,H1_xgboost
6.78876200563022e-05,1.0673585423997025,0.9399518432058801,0.008744327168427705,0.00819249279512783,0.9246503710746765,0.14252929389476776,0.566925048828125,2.0,4,100,H1_xgboost
0.00013122698873547484,1.2341649893291202,0.7579455870421428,0.014026009580681441,0.011364776753475919,1.0179388523101807,0.18035350739955902,0.43846195936203003,2.0,5,100,H1_xgboost
0.00015048373032029093,1.0700703900987902,0.50012229130865,0.012919981842201498,0.012073955098419936,0.8766120076179504,0.4167799949645996,0.0,2.0,1,200,H1_xgboost
0.00010154834269953873,1.4607777391187295,0.4143310690150278,0.014316532340678962,0.009800623296269535,1.3278228044509888,0.38003045320510864,0.0,2.0,2,200,H1_xgboost
0.00018262630920792402,1.3849041829780817,0.3127011215136903,0.018375074894669514,0.013268120004631633,1.0629206895828247,0.36492642760276794,0.13415080308914185,2.0,3,200,H1_xgboost
6.78876200563022e-05,1.087867230006253,0.9828372411696809,0.008912344443881899,0.00819249279512783,0.8426831364631653,0.24793824553489685,0.13385009765625,2.0,4,200,H1_xgboost
0.00013122698873547484,1.32355845861108,0.717257127222714,0.015041946402289622,0.011364776753475919,1.0184873342514038,0.28482934832572937,0.0,2.0,5,200,H1_xgboost
