mse,vol_ratio,sharpe,strat_vol,mkt_vol,pos_mean,pos_std,pos_min,pos_max,fold,k,hypothesis
0.00014981496624459344,1.0365146331741446,0.49326919867449576,0.012514831139799832,0.012073955098419936,0.9924871627372452,0.10874807562531513,0.7314138602840475,1.2958646141308439,1,50,H2_lightgbm
0.00011318898943102526,1.20106075288066,0.35572077046517525,0.011771143994917223,0.009800623296269535,1.1511675587024826,0.15472385192448668,0.6207540350307053,1.8384935542484837,2,50,H2_lightgbm
0.0001847941418741457,1.1492461940009542,0.37027604001001657,0.015248336416870827,0.013268120004631633,1.0139672291773718,0.15304431277734104,0.6972347602139441,1.9274192639909025,3,50,H2_lightgbm
6.972294590016011e-05,1.0513734947323485,0.9098773945544881,0.008613369780583134,0.00819249279512783,0.9630645801735244,0.10357876665473906,0.6585009764644129,1.8116107516279687,4,50,H2_lightgbm
0.0001334091222326529,1.1003290434597504,0.7797721276203647,0.012504993934285764,0.011364776753475919,1.0052234363942743,0.11381236051077825,0.40972941668286444,1.651745766653446,5,50,H2_lightgbm
0.00014981496624459344,1.084918985122722,0.5018616194198013,0.013099263111795071,0.012073955098419936,0.9849743254744905,0.21749615125063027,0.46282772056809507,1.5917292282616877,1,100,H2_lightgbm
0.00011318898943102526,1.3962079442814055,0.3909619592396536,0.01368370810516094,0.009800623296269535,1.30047202968875,0.3039836767949086,0.24150807006141062,2.0,2,100,H2_lightgbm
0.0001847941418741457,1.2730658998235267,0.387598845745133,0.016891191132662905,0.013268120004631633,1.0206118405422544,0.27544108597585204,0.3944695204278884,2.0,3,100,H2_lightgbm
6.972294590016011e-05,1.106175110996542,0.9234903344295164,0.0090623316269889,0.00819249279512783,0.9237313757515747,0.1920372060569431,0.3170019529288257,2.0,4,100,H2_lightgbm
0.0001334091222326529,1.2107317436193175,0.7489659650278575,0.013759695974580185,0.011364776753475919,1.0090917949864735,0.21890685793565257,0.0,2.0,5,100,H2_lightgbm
0.00014981496624459344,1.2015460415584671,0.5122085173944708,0.014507412954461146,0.012073955098419936,0.9681961962251663,0.4302748942415856,0.0,2.0,1,200,H2_lightgbm
0.00011318898943102526,1.6489336011828186,0.4081235648422994,0.01616057706575395,0.009800623296269535,1.5185742742864246,0.4964904157385126,0.0,2.0,2,200,H2_lightgbm
0.0001847941418741457,1.376803739144741,0.3953157771636392,0.01826759723379797,0.013268120004631633,1.0006252331676209,0.4335846223588504,0.0,2.0,3,200,H2_lightgbm
6.972294590016011e-05,1.1110185169293603,0.9982947631077371,0.009102011195197391,0.00819249279512783,0.8330666419065687,0.3113712301852589,0.0,2.0,4,200,H2_lightgbm
0.0001334091222326529,1.3172921500496315,0.7405399800526581,0.014970731204420365,0.011364776753475919,1.0049789745806494,0.346584554727759,0.0,2.0,5,200,H2_lightgbm
