mse,vol_ratio,sharpe,strat_vol,mkt_vol,pos_mean,pos_std,pos_min,pos_max,fold,k
0.00014972996203763706,0.8815870070001883,0.8222702215181826,0.010644241937870697,0.012073955098419936,0.413958877325058,0.6632904410362244,0.0,2.0,1,800
0.00010005125078087173,1.3211060798923695,0.6096406108739247,0.012947663023436478,0.009800623296269535,0.49926134943962097,0.7230042219161987,0.0,2.0,2,800
0.00018015805143625554,1.4978905443537205,0.691335716739858,0.019874191496288166,0.013268120004631633,0.9389604330062866,0.6914279460906982,0.0,2.0,3,800
6.815557565216291e-05,1.290801654368681,0.9167294060476946,0.010574883253354504,0.00819249279512783,0.7958133816719055,0.5461651086807251,0.0,2.0,4,800
0.00013202430686619647,1.4264482116941921,0.6628374795197307,0.01621126547629945,0.011364776753475919,0.8180461525917053,0.7285474538803101,0.0,2.0,5,800
0.00014972996203763706,0.8947918561566108,0.8004625729336801,0.010803676693666749,0.012073955098419936,0.40648314356803894,0.6854559183120728,0.0,2.0,1,1000
0.00010005125078087173,1.341528968324048,0.6101970127709211,0.0131478200595771,0.009800623296269535,0.487774521112442,0.7449121475219727,0.0,2.0,2,1000
0.00018015805143625554,1.5146391790157312,0.7079488612889395,0.020096414390897457,0.013268120004631633,0.9137797355651855,0.7398209571838379,0.0,2.0,3,1000
6.815557565216291e-05,1.3065746559428495,0.9225396930431032,0.01070410345510842,0.00819249279512783,0.7462189793586731,0.6054070591926575,0.0,2.0,4,1000
0.00013202430686619647,1.446492722015745,0.6378382212415227,0.016439066861236643,0.011364776753475919,0.7986130714416504,0.774690568447113,0.0,2.0,5,1000
0.00014972996203763706,0.9169654803645634,0.779808933692792,0.011071400036722806,0.012073955098419936,0.39909547567367554,0.7199899554252625,0.0,2.0,1,1500
0.00010005125078087173,1.3674705306875015,0.6390411121871497,0.013402063540017991,0.009800623296269535,0.4750654697418213,0.7747019529342651,0.0,2.0,2,1500
0.00018015805143625554,1.5409202084652864,0.7524070657460191,0.020445114243479414,0.013268120004631633,0.8726266622543335,0.812934935092926,0.0,2.0,3,1500
6.815557565216291e-05,1.331585471819902,0.9087235676380842,0.01090900438398144,0.00819249279512783,0.6568925380706787,0.7031849026679993,0.0,2.0,4,1500
0.00013202430686619647,1.475519702342324,0.6070301956956656,0.016768952012475753,0.011364776753475919,0.783052384853363,0.8323282599449158,0.0,2.0,5,1500
0.00014972996203763706,0.9344337031944,0.7677291084572072,0.011282310574819448,0.012073955098419936,0.3977118730545044,0.7408484816551208,0.0,2.0,1,2000
0.00010005125078087173,1.37859048218115,0.6662769630692736,0.01351104599568003,0.009800623296269535,0.4685814380645752,0.7904480695724487,0.0,2.0,2,2000
0.00018015805143625554,1.5553263941657038,0.7817330103941273,0.02063625724416156,0.013268120004631633,0.8483149409294128,0.8541858792304993,0.0,2.0,3,2000
6.815557565216291e-05,1.3422914279355531,0.9146375201380876,0.010996712852323866,0.00819249279512783,0.6114459037780762,0.7527812123298645,0.0,2.0,4,2000
0.00013202430686619647,1.4882506530990507,0.5598189397120759,0.016913636425685444,0.011364776753475919,0.7785136103630066,0.8639845252037048,0.0,2.0,5,2000
