feature,pearson_corr,spearman_corr,mi_score,mi_minus_pearson,missing_pct,category
E19,0.022827349405658254,0.02976692230886186,0.10747619957564858,10.7247926081592,11.190211345939934,E
V7,0.03033870160394757,0.02917134627365258,0.10329298988947588,10.298960287343641,16.80756395995551,V
S8,0.008797577057477638,0.017473658975870505,0.07985458692291303,7.976661115233825,33.47052280311457,S
V13,0.05981520512654145,0.03953573918539511,0.07903335348428708,7.843520143302167,16.80756395995551,V
P5,0.021601368364134444,0.03585228828513172,0.07294159776418052,7.272558408053918,17.508342602892103,P
E2,0.0021438979434599066,0.0043540868079777586,0.062210737612589107,6.21892986331545,11.190211345939934,E
E3,0.0022228596251431974,0.0044626942156870165,0.06073795229955081,6.071572370329938,11.190211345939934,E
V9,0.013745508896050942,0.017970155353550274,0.06035145186665103,6.021399677769052,50.48943270300333,V
E20,0.0015696880701260153,0.005980687770900406,0.05460380447084301,5.458810759014175,17.975528364849833,E
P2,0.004028369831867089,0.004938447804742322,0.05442718754128517,5.43869038429665,11.190211345939934,P
P10,0.019880257418498932,0.015309000173945566,0.05033239707498094,5.013359450079595,11.190211345939934,P
I9,0.004311093161194993,0.00025323915422148096,0.04963980258324252,4.959669165163057,11.190211345939934,I
E12,0.028826860882994784,0.019793109761808914,0.049638826751208676,4.935055814237873,11.190211345939934,E
V1,0.0011184545672431592,0.005851905965239154,0.04801190293401092,4.800071838833849,11.190211345939934,V
E17,0.006235016600272443,0.0033730455747740017,0.04695950470927901,4.6897154543276285,11.190211345939934,E
E1,0.006693042801481939,0.007581470905331324,0.046606168415027405,4.653923798701259,19.844271412680754,E
P8,0.029102736653443595,0.024175575027067405,0.04660020697058265,4.630917960404821,11.190211345939934,P
I2,0.02435942622127301,0.025711261631036403,0.0462377885621601,4.599419429994737,11.190211345939934,I
E10,0.0025259809022162402,0.003585059436721965,0.04616362098159765,4.613836117257549,11.190211345939934,E
E18,0.007780381317786448,0.011390447773633619,0.046089322513034325,4.601151869985646,11.190211345939934,E
M17,0.02414768017467649,0.02461556096079737,0.04545298360174499,4.521150679999822,11.190211345939934,M
M4,0.06441949732819952,0.047997122469924804,0.04512502108683947,4.448082611355748,11.190211345939934,M
I4,0.002112424510749382,0.0013398733455353008,0.04446693034653393,4.444580610142643,11.190211345939934,I
E16,0.005908717479771874,0.0034444670492728455,0.04438118839868199,4.432210122388427,11.190211345939934,E
I5,0.004207754142247743,0.0004460782820810952,0.044191797917301656,4.414972037587918,11.190211345939934,I
M10,0.007978592786639494,0.003779611015474608,0.044069736425914385,4.398995049804799,11.190211345939934,M
S2,0.03668844921277788,0.03959192471188102,0.04379390969610597,4.342702520397819,11.190211345939934,S
E8,0.0016558399937757436,0.002257421601834188,0.043284652597951556,4.32680941980138,11.190211345939934,E
V5,0.001876524791075104,0.0021755356251946805,0.042924132790400193,4.2905367542489445,16.81868743047831,V
P6,0.00033092615345231595,0.0023524522343063214,0.042499187732953025,4.24958784714185,18.220244716351502,P
V8,0.004030426737618743,0.008482202839725667,0.04160944244560838,4.156913817823219,11.190211345939934,V
V10,0.019317277583203247,0.01662698414373435,0.04129796589258561,4.110479311675357,67.28587319243604,V
M18,0.01195788035164004,0.007998975804241543,0.03876874688872611,3.864916808520971,11.190211345939934,M
P11,0.012180710668126255,0.004302295797717653,0.03871809058949971,3.8596283482818445,11.190211345939934,P
M1,0.02785585678368003,0.03225347159931476,0.03860104694237432,3.8322488374537516,61.701890989988875,M
S7,0.011872241907895043,0.010997454556302797,0.03851558180828629,3.8396859389207343,11.190211345939934,S
V6,0.010426941682853892,0.015657350422014986,0.03840644121759773,3.8302171800769194,11.190211345939934,V
S5,0.038504236230176146,0.03578904885862059,0.03832901295489144,3.794397059258968,16.80756395995551,S
E9,0.01509126260017117,0.018597236607383945,0.03820066603607408,3.804975341007237,11.190211345939934,E
E15,0.005192373683486692,0.0013387077450873806,0.034894606981991316,3.4842683245156447,11.190211345939934,E
M11,0.006005191439676762,0.011093944106180907,0.03419276649122427,3.4132714576827503,11.190211345939934,M
M5,0.00568953522100374,0.001382169205804736,0.034016794378773696,3.395989902656366,36.518353726362626,M
V12,0.00929608614217652,0.011938395553291351,0.03302825713026891,3.2935296268847147,11.190211345939934,V
I3,0.004247840326355251,0.0038264923859882187,0.032031841741650524,3.1989363338386974,11.190211345939934,I
M8,0.021049999803632917,0.019780949264221193,0.03196937785479115,3.175887785675482,11.190211345939934,M
I1,0.006424624846469117,0.009344639220071867,0.03103984399450077,3.097559774603608,11.190211345939934,I
P9,0.005481532068205811,0.0032107946655600935,0.030439317943766753,3.0384502623084693,11.190211345939934,P
E11,0.030006989629369814,0.028344549905688847,0.030133109837541028,2.983303994124733,11.190211345939934,E
I8,0.0027388806973636633,0.008845587812747278,0.02875520050846969,2.8727811701496053,11.190211345939934,I
M13,0.008843597032560224,0.005287978265123252,0.027866332212974854,2.777789624264925,61.62402669632926,M
E5,0.006987760925114488,0.010565457975095734,0.027832768062709512,2.7762890453458366,11.190211345939934,E
M3,0.015135818553527865,0.01817158753623774,0.027035182402692648,2.688382421715737,22.447163515016687,M
S1,0.004610319265337586,0.0005539689094635343,0.026134442714329076,2.60883395216757,11.190211345939934,S
I7,0.003257612001678058,0.004157345901105035,0.025187100785260874,2.5154524665244096,11.190211345939934,I
E6,0.012793745183509894,0.004869066699967867,0.024538994595731722,2.4411057143896624,11.190211345939934,E
M7,0.006594963266349721,0.005899107257254391,0.024009477354737463,2.3943527722073967,11.190211345939934,M
M15,0.004228525948566638,0.011613907800482296,0.023158122332245235,2.3115837072759566,11.190211345939934,M
S9,0.009104096576739457,0.007805606941337732,0.022963622835737496,2.2872581869970103,11.190211345939934,S
M12,0.023785005895442253,0.024141784699608444,0.022643669453867865,2.2405819394913444,11.190211345939934,M
P7,0.021692367020677526,0.01632218544462065,0.022342335479611286,2.212541180940451,17.975528364849833,P
S3,0.01135890277140565,0.009539923508976854,0.02208211859625342,2.1968529568539363,63.770856507230256,S
M9,0.0011652786010773184,0.011955211676054935,0.022038484216849064,2.202683143083829,11.190211345939934,M
P1,0.0004316623083323996,0.0008084287383624452,0.02195755977398761,2.1953243150904287,11.190211345939934,P
