feature,mi_score,type
E20*P2,0.04770306258018753,interaction
M4,0.04741971320071947,original
E12,0.04694051388874865,original
V7*V13,0.04678576238524812,interaction
V7*P5,0.04678542581778977,interaction
E18,0.04665885033894579,original
P8_log,0.046522864024256094,nonlinear
V1_log,0.046355544580299224,nonlinear
V13*E3,0.04624368410367996,interaction
E2/P2,0.045995261429003786,interaction
V13_squared,0.045709791603732786,nonlinear
E10_squared,0.04539566723364974,nonlinear
I4,0.045394889401091376,original
E17_sqrt,0.04503178161698873,nonlinear
I2_log,0.04495373505409006,nonlinear
vol_composite,0.04490718193505838,volatility
E3/P2,0.04450155101400588,interaction
S2,0.04440821197243583,original
V_skew_proxy,0.04420005489227741,category_stat
I5,0.04418866645115127,original
E17_log,0.04396837145813404,nonlinear
S8_squared,0.04385622038624781,nonlinear
E1_squared,0.04379916104608128,nonlinear
E18_log,0.043776123416264134,nonlinear
E16,0.04321733075639944,original
E18_sqrt,0.043127258342156694,nonlinear
V7_squared,0.04305276109681966,nonlinear
V_max,0.04295513400006268,category_stat
vol_max,0.04281422399370616,volatility
E12_log,0.04272699801503599,nonlinear
E19*V7,0.04270705053269541,interaction
V1,0.042485874972981286,original
I2_sqrt,0.042354798314037545,nonlinear
S7,0.042327380392924496,original
V_std,0.04231513388981245,category_stat
E2_squared,0.042277451484208584,nonlinear
M17,0.042120836074439616,original
V7*S8,0.042106464050410075,interaction
E10_log,0.04200609166817948,nonlinear
M18,0.04200312608391776,original
S_min,0.04200105788273856,category_stat
P6,0.041975498748078266,original
M10,0.04197385513117524,original
E8,0.04191509495945578,original
V5,0.041881054519089744,original
I2,0.041823294121104304,original
P8,0.04166902783960502,original
E10_sqrt,0.04161252045877806,nonlinear
V_median,0.04112011411411576,category_stat
E9,0.04069856767062685,original
E10,0.040467606062495776,original
E2*V9,0.04014293483985654,interaction
V10,0.03994062278922916,original
P5*V9,0.0396121059365262,interaction
V9*P2,0.03956089356888315,interaction
V13*P2,0.03953306455479311,interaction
E3*E20,0.03947424492653617,interaction
market_vol,0.039452596951378816,volatility
E19*V9,0.039398325587633565,interaction
M_min,0.0390631589338728,category_stat
P5*P2,0.038996535710234426,interaction
E_min,0.03884934287861164,category_stat
E18_squared,0.03881157465165419,nonlinear
E20_squared,0.038756893852457175,nonlinear
V13*P5,0.03862078642358924,interaction
P8_squared,0.0385977524712704,nonlinear
E_max,0.03857669653188456,category_stat
E17_squared,0.038299259765567584,nonlinear
P5/E3,0.03803193547680772,interaction
V8,0.037780429298476914,original
E19/V9,0.03773534630810582,interaction
V13*E2,0.03771016517013326,interaction
E2*E20,0.03764733514998042,interaction
S8*E20,0.03763306202974803,interaction
S8*V13,0.037607020108139544,interaction
P_range,0.037523822413947805,category_stat
S5,0.0373865764950807,original
P5*E3,0.037295942796276904,interaction
P5/P2,0.037252066710164566,interaction
V13*V9,0.03710119466094319,interaction
M1,0.036862459192477104,original
P5/E2,0.036618743377755614,interaction
S8*V9,0.03630846522081477,interaction
S8/P5,0.03608191036298258,interaction
P10_squared,0.035850473648099346,nonlinear
S8*P2,0.03565825594121019,interaction
M11,0.03549452371844719,original
E15,0.03521408847683016,original
P_to_V_mean,0.03471983536949974,ratio
V9_squared,0.034714110840472934,nonlinear
V7*V9,0.03443068702699348,interaction
E3_squared,0.03431314584067291,nonlinear
I_std,0.034273559919586916,category_stat
I9_squared,0.03416809466351811,nonlinear
M5,0.03404551268275924,original
E2/V9,0.03403621837528359,interaction
I1,0.03384843692212325,original
P_min,0.03377633176141703,category_stat
E12_sqrt,0.03353574668538872,nonlinear
P11,0.03311974220181302,original
P9,0.0331028266571094,original
M_range,0.03280324275791191,category_stat
I3,0.032735911227947945,original
M_std,0.03268130637743383,category_stat
sentiment_dispersion,0.03242232128053413,volatility
S8*E2,0.03239937667748194,interaction
S8/V13,0.03210359841382715,interaction
V6,0.03205172851172566,original
P_mean,0.031798612358557854,category_stat
E2*P2,0.03177128088798664,interaction
I_min,0.031700844900675484,category_stat
M8,0.03162318836574851,original
E2*E3,0.031009001211106835,interaction
E3*P2,0.03063361990702429,interaction
P2_squared,0.030457659013038096,nonlinear
V7/V9,0.03031450804988367,interaction
M_to_V_mean,0.03005463882459125,ratio
P_std,0.03001592096561012,category_stat
price_dispersion,0.03001592096561012,volatility
I_median,0.02997315625458885,category_stat
E3/V9,0.029948220402877368,interaction
P_max,0.029519944068407966,category_stat
S_std,0.029445104807371614,category_stat
V12,0.029112732359555693,original
E6,0.028922252757551448,original
S8*P5,0.028912176202813278,interaction
E3*V9,0.02890374445346211,interaction
I_range,0.028843860437801183,category_stat
