k,sharpe_mean,sharpe_std,pos_mean,pos_std_mean,pos_range_mean,pct_extreme_low,pct_extreme_high,profit_proxy_mean,pos_return_corr_mean
50,0.13367687066791115,0.21178960580633563,1.0183891,0.1493659,1.6201478,0.0801068090787717,0.21361815754339117,159.52527,0.02926400536271282
250,0.21501288262124643,0.27790751917239287,1.0456421,0.49785098,2.0,7.489986648865154,15.353805073431241,641.46326,0.03168289762951437
500,0.25152373225411634,0.2963466761990216,1.0211854,0.6472133,2.0,19.6128170894526,23.751668891855807,901.7549,0.030008482392159426
1000,0.2728478380732013,0.30743039974515407,1.0019745,0.7627195,2.0,29.853137516688918,32.02937249666222,1117.2572,0.02533527517310108
