strategy,sharpe_mean,sharpe_std,pos_mean,pos_std_mean,pos_range,pct_extreme_low,pct_extreme_high,pct_extreme_total,profit_proxy
Baseline,0.21501288262124643,0.27790751917239287,1.0456421375274658,0.4978509843349457,2.0,7.489986648865154,15.353805073431241,22.843791722296395,641.4632568359375
Sigmoid-5,0.25126460118349464,0.29611854025196,1.0210883617401123,0.6324626803398132,1.9996684789657593,18.26435246995995,22.710280373831772,40.974632843791724,900.9794921875
Sigmoid-10,0.2694428701872853,0.3089214856540473,1.0014064311981201,0.74809730052948,1.999999761581421,28.544726301735647,30.974632843791717,59.51935914552736,1111.177001953125
Sigmoid-15,0.27352979255175336,0.3145953568454713,0.9908337593078613,0.8010660409927368,2.0,33.871829105473964,35.1935914552737,69.06542056074767,1210.966552734375
Sigmoid-20,0.2753619754928497,0.32005326255558847,0.983862578868866,0.8323923349380493,2.0,37.27636849132176,37.83711615487317,75.11348464619493,1270.814697265625
Quantile-80,0.23268036943647735,0.2950836682712789,1.0412005186080933,0.533021092414856,2.0,9.706275033377837,16.702269692923895,26.408544726301734,670.5455322265625
Quantile-85,0.2132011984275799,0.2755717151997828,1.0433907508850098,0.517381489276886,2.0,8.638184245660883,16.04806408544726,24.68624833110814,655.63037109375
Quantile-90,0.21192775909361874,0.2746763883016452,1.0446938276290894,0.506112277507782,2.0,8.024032042723633,15.660881174899865,23.684913217623496,646.5384521484375
Quantile-95,0.21490478450121503,0.27779204438612964,1.0456421375274658,0.4980490803718567,2.0,7.489986648865154,15.353805073431241,22.843791722296395,641.5588989257812
Threshold-0.2-1.5x,0.24270164378819264,0.28351210196335236,1.0330922982601805,0.5848585447254228,2.0,15.020026702269694,20.186915887850468,35.206942590120164,773.0917398800287
Threshold-0.2-2.0x,0.2527514498220942,0.2934892065910747,1.0263618499627305,0.6382272675423722,2.0,19.6128170894526,23.751668891855807,43.364485981308405,852.0390888755355
Threshold-0.3-1.5x,0.23899001098662181,0.2818750182725093,1.0350517887567214,0.5779357787746975,2.0,15.020026702269694,20.186915887850468,35.206942590120164,753.6121222023997
Threshold-0.3-2.0x,0.2456651156700002,0.29002238709600725,1.0302808309558125,0.6229083865096697,2.0,19.6128170894526,23.751668891855807,43.364485981308405,813.0798535202775
Threshold-0.5-2.0x,0.21253348586940649,0.27113331334089064,1.0354925463779154,0.5718670623018209,2.0,16.08811748998665,21.068090787716955,37.156208277703605,729.1774137769971
