strategy,cv_sharpe,improvement_pct,vs_exp021,expected_public
Baseline (021+MAE),0.6504192762070546,0.0,2.106636767198529,5.59360577538067
Strategy 1 (028+MAE),0.6219059259938077,-4.383841509053004,-2.369556358899896,5.348390963546746
Strategy 2 (021+MAE+Rank),0.6064828877729559,-6.755087070960675,-4.7907554516552775,5.215752834847421
Strategy 3 (028+MAE+Rank),0.6685773447557898,2.7917482173383026,4.957196978930891,5.749765164899792
