seq_len,d_model,nhead,num_layers,k,description,sharpe_mean,sharpe_std,sharpe_folds
25,64,2,1,600,Medium context,0.5549340095528512,0.22557056534498252,"[np.float64(0.43348881753219864), np.float64(0.4451513115316434), np.float64(0.2586772651196858), np.float64(0.7996875686060764), np.float64(0.8376650849746516)]"
20,64,2,1,600,Best from quick tuning,0.5294565999375834,0.2124721245771621,"[np.float64(0.352156205961882), np.float64(0.5370373711244358), np.float64(0.23867859345396814), np.float64(0.7169957056157013), np.float64(0.80241512353193)]"
15,64,2,1,600,Shorter context,0.4755826949635136,0.33088677555829965,"[np.float64(0.4091676731111506), np.float64(0.4896333325165078), np.float64(-0.10768485653401724), np.float64(0.7759788448209276), np.float64(0.810818480902999)]"
20,128,4,2,600,Larger model (original 0.712),0.4233139963913167,0.3824747039249156,"[np.float64(0.5781401424290131), np.float64(0.01910202423328669), np.float64(-0.0842319758618431), np.float64(0.8014234305600348), np.float64(0.8021363605960923)]"
