seq_len,d_model,nhead,num_layers,k,description,sharpe,sharpe_std
20,64,2,1,600,Baseline (from fast test),0.5635360706697183,0.1886921237414632
20,64,2,1,800,Higher k,0.4602276850226567,0.29763511514752183
20,128,4,2,600,Larger model,0.44175957857376186,0.2921123667761106
30,128,4,2,600,Longer + Larger,0.35674060496139887,0.3305860466550172
25,128,4,2,600,Balanced,0.300298175822292,0.16831139222486194
30,64,2,1,600,Longer context,0.21792119773590238,0.2657411930268625
