k_base,vol_scale,conf_mult,long_ratio,short_ratio,mean_sharpe,std_sharpe,min_sharpe,max_sharpe
350,1.0,0.0,1.0,1.0,0.5814659647568272,0.32005825677329053,0.12875956311481973,0.9825342442380748
300,0.7,0.0,1.0,1.0,0.5812524996379201,0.32139575981958374,0.12223966386296856,0.9921284505021286
350,0.7,0.0,1.0,1.0,0.5805364237600978,0.32465803640482366,0.094763983465002,0.9922885015237107
250,0.5,0.0,1.0,1.2,0.5797026673291565,0.32549612767614283,0.10165829953842104,0.9887398196022533
300,0.5,1.0,0.8,1.0,0.579327116285868,0.32477241779959976,0.10415860308290106,0.9858850966400151
300,0.5,0.5,0.8,1.0,0.5792526352800635,0.32466352929279263,0.10448280756411422,0.9856648345897258
300,0.5,0.0,0.8,1.0,0.5791791355248664,0.32455157160063347,0.10481775078111522,0.9854442685105581
300,1.0,1.0,1.2,1.0,0.5788268644476088,0.3214741695661294,0.13285233176647324,0.9917153220360213
300,1.0,0.5,1.2,1.0,0.578720262106013,0.32138363455298724,0.13316660743861228,0.9912302091993886
300,0.5,1.0,1.2,1.0,0.5785927010200675,0.3256528611008127,0.08351722025137401,1.0068887044998516
300,0.5,0.5,1.2,1.0,0.5785605249535276,0.32560464310611253,0.08366835014086965,1.0068004162928614
300,0.5,0.0,1.2,1.0,0.5785250252015112,0.3255520709053112,0.08382914593110179,1.0067119959151483
250,0.5,0.0,0.8,1.2,0.5781389406879418,0.31907449209828675,0.12037482755241007,0.9689874181033848
250,0.5,0.0,1.2,1.2,0.5780086147652168,0.32575890545597935,0.0902609208924832,0.9970456024270941
300,0.5,0.0,1.0,1.0,0.5780086147652168,0.32575890545597935,0.0902609208924831,0.9970456024270941
300,0.5,0.5,1.0,1.0,0.577968948265192,0.32575966718734223,0.09000137704678537,0.9970795229662037
300,0.5,1.0,1.0,1.0,0.5779251523061305,0.3257545152809685,0.08975196436839009,0.9971132868072992
250,0.5,1.0,1.0,1.0,0.5775112851905329,0.3215164206591278,0.12054855478591664,0.9957337489628542
250,0.5,0.5,1.0,1.0,0.577442083564897,0.32141176822425244,0.12102204458077474,0.9955188989271719
250,0.5,0.0,1.0,1.0,0.57738801219567,0.3213061404757417,0.12151691083850855,0.9952959114293063
300,0.5,0.0,0.8,1.2,0.5765386571550601,0.3264742821425067,0.08255408796586641,0.9723006473944902
300,0.5,0.0,1.2,0.8,0.5760215561366193,0.3215422056391073,0.10591562893034977,1.013538472879652
250,0.5,0.0,1.2,1.0,0.5759737204095406,0.3219768093583112,0.10948635328659406,1.003569197609709
250,0.5,1.0,1.2,1.0,0.5759736538302914,0.3220067661653667,0.10898280827393644,1.0038003444643717
250,0.5,0.5,1.2,1.0,0.5759731483365751,0.3219889005691498,0.10923451302795142,1.0036848491302617
300,0.5,0.0,0.8,0.8,0.5759660477248725,0.3195537541840442,0.12855139047158767,0.9923386970754456
200,0.5,0.0,1.2,1.2,0.5759660477248725,0.31955375418404425,0.12855139047158765,0.9923386970754456
350,0.5,0.0,1.0,1.0,0.5758123338880592,0.3269117805944632,0.0658948802061526,0.9947778980487036
250,0.5,1.0,0.8,1.0,0.5757376598353547,0.314964283516961,0.14002916928890222,0.9770949243944856
300,0.5,0.0,1.2,1.2,0.5756314026331684,0.3269400757577956,0.06319720483748284,0.9939444325909775
250,0.5,0.5,0.8,1.0,0.5756115228950329,0.3147051975817851,0.14049257301757942,0.9763830449281193
250,0.5,0.0,0.8,1.0,0.5754931406779448,0.3144560272157241,0.14095630299481945,0.9756691307202952
300,0.5,0.0,1.0,0.8,0.5752137686418697,0.3213047658116508,0.11308627502321884,1.003901705449792
300,0.5,0.0,1.0,1.2,0.5752095797468365,0.327385288410138,0.06890405469569179,0.98410503043821
300,1.0,1.0,1.0,1.0,0.5746222329340357,0.31642146657474873,0.14499848323199602,0.970114871735686
200,0.5,0.0,1.0,1.2,0.5745858513749311,0.3136638444309018,0.14479112006901423,0.9759909110696593
300,0.3,0.0,1.0,1.0,0.5744697761968072,0.33210215840650786,0.0540076059414525,1.0047979129400637
300,1.0,0.5,1.0,1.0,0.5744585715256285,0.3162724894344839,0.1452789093576609,0.9695910270819968
300,1.0,0.0,1.0,1.0,0.5742735735690823,0.3161248610600184,0.1455452730343887,0.9690339894522663
250,0.3,0.0,1.0,1.0,0.5734829887681071,0.3270337211761256,0.07967195676725218,1.0024015136705193
250,0.7,0.0,1.0,1.0,0.5726358374465198,0.31651127957166575,0.14295738625685012,0.9768614368293166
250,0.5,0.0,1.0,0.8,0.5722297585909227,0.31936113726697124,0.13422029116549472,0.9932106780684601
200,0.5,1.0,1.2,1.0,0.571791406310374,0.3185505300004231,0.13697029442687622,0.9906250036452489
200,0.5,0.5,1.2,1.0,0.5716880304441372,0.3184360630342181,0.13729121430715066,0.9902716236741647
200,0.5,0.0,1.2,1.0,0.5715730372083311,0.31833384023673045,0.13758438526631303,0.9899179129582055
250,0.5,0.0,1.2,0.8,0.5711853259801776,0.32021674953025175,0.12187271248206104,1.0016227760345298
200,0.3,0.0,1.0,1.0,0.5709481704177859,0.3196778361194708,0.11914189749433889,0.9934154897947481
