config_id,quantile_config,quantile_alphas,scaling_config,scaling_type,scaling_value,avg_sharpe,std_sharpe,fold1,fold2,fold3,fold4,fold5
88,IQR (0.25-0.75),"[0.25, 0.5, 0.75]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
18,EXP-020 (0.1-0.9),"[0.1, 0.5, 0.9]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
4,Wide (0.05-0.95),"[0.05, 0.5, 0.95]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
60,5Q-Wide,"[0.05, 0.25, 0.5, 0.75, 0.95]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
32,Moderate (0.15-0.85),"[0.15, 0.5, 0.85]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
74,5Q-Moderate,"[0.1, 0.3, 0.5, 0.7, 0.9]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
46,Narrow (0.2-0.8),"[0.2, 0.5, 0.8]",EXP-020 (x5),symmetric,5.0,0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
68,5Q-Wide,"[0.05, 0.25, 0.5, 0.75, 0.95]",RiskAverse,asymmetric,"up=5.0,down=7.0",0.6363482968932732,0.2907886407195597,0.5902345950828611,0.4997063340707841,0.33360318702627156,1.1893264760886095,0.5688708921978394
96,IQR (0.25-0.75),"[0.25, 0.5, 0.75]",RiskAverse,asymmetric,"up=5.0,down=7.0",0.6363482968932732,0.2907886407195597,0.5902345950828611,0.4997063340707841,0.33360318702627156,1.1893264760886095,0.5688708921978394
54,Narrow (0.2-0.8),"[0.2, 0.5, 0.8]",RiskAverse,asymmetric,"up=5.0,down=7.0",0.6363482968932732,0.2907886407195597,0.5902345950828611,0.4997063340707841,0.33360318702627156,1.1893264760886095,0.5688708921978394
