feature,importance
V7/P8,0.0320502
M4*V7,0.031236893
week_sin,0.02801318
M4/E19,0.027810588
V7/P7,0.027773507
M4/P5,0.02737424
P5,0.026517414
V7*I2,0.02628124
M4/I2,0.026144149
P8*S2,0.026098542
I2/S5,0.025860665
P8/P7,0.02585512
M4/V7,0.025591994
S2/P5,0.025540933
V7*P5,0.025486168
M4/P8,0.02522511
V7*P7,0.024939682
P8²,0.024856733
month_sin,0.024643473
I2*E19,0.024516232
V13*I2,0.024497122
V13/S2,0.024302037
V13²,0.023853011
M4²,0.023489607
M4*P8,0.0233282
V13/P7,0.02325411
quarter_cos,0.023035008
P8/P5,0.022493524
time_trend,0.022466676
S5/P7,0.02223727
S2*S5,0.022166673
M4/P7,0.022116598
week_of_month,0.02157949
M4/S2,0.021218505
year_sin,0.021048656
year_cos,0.020712662
month_cos,0.020201124
quarter_sin,0.019996734
P5/P7,0.01948756
week_cos,0.016539656
day_of_week_approx,0.015930403
month_of_quarter,0.014229326
