expid,mse_mean,sharpe_mean,sharpe_std,sharpe_median,vol_ratio_mean
R_lasso_lo_b1,0.00021418509855369465,0.6974727163000101,0.8003024483752551,0.4857842976342202,0.8792386569441021
R_lasso_lo_b3,0.00014980027991757922,0.6534420939478816,0.646411437004168,1.0060777435188804,1.0577238074794821
H7_lasso_lo_top20_volaware_b3,0.00012586866370735154,0.624783677349712,0.6411588144771507,0.9727337355153522,1.0559459784493612
R_lasso_lo_b4,0.000126410304559961,0.6040020784742822,0.20911883407727258,0.5580291481809329,1.0972892203814817
R_lasso_lo,0.000126410304559961,0.6040020784742822,0.20911883407727258,0.5580291481809329,1.0972892203814817
H8_top20_b3,0.00017538953212997864,0.5996908434998026,0.6197352031451772,0.9904899097676408,1.044093775559957
H8_top20_b4,0.00013005779639043308,0.5848179805520772,0.23452721718529748,0.5248667245938665,1.080152811996617
H8_top20,0.00013005779639043308,0.5848179805520772,0.23452721718529748,0.5248667245938665,1.080152811996617
H7_lasso_lo_top20_volaware,0.0001240468141034279,0.5732950910690178,0.2297891370429059,0.4831400268409761,1.0506779535634063
H7_lasso_lo_top20_volaware_b4,0.0001240468141034279,0.5732950910690178,0.2297891370429059,0.4831400268409761,1.0506779535634063
R_lasso,0.0001232836383320423,0.5588986728439392,0.23422818652997052,0.4780822898236894,0.9997442480577725
R_lasso_hi,0.0001232836383320423,0.5588986728439392,0.23422818652997052,0.4780822898236894,0.9997442480577725
H6mask_lasso,0.0001232836383320423,0.5588986728439392,0.23422818652997052,0.4780822898236894,0.9997442480577725
H7_k20_volaware_b2,0.0026374143488848293,0.5404694038358868,0.5621173925116031,0.7188408484772317,1.097269008156874
H8_top20_b1,0.0004848609403671619,0.5171988454433768,0.9306400317337662,0.1029581768291217,0.8379467588281833
H7_lasso_lo_top20_volaware_b1,0.00028957403503877127,0.5091439431068798,0.7453599265367938,0.3962670930277315,0.8315937192759788
H8_top40,0.00028468401926413304,0.4972494881274006,0.2823168504305447,0.4361869029380072,1.274546777024113
R_lasso_lo_b2,0.00028839805807522105,0.47601864337593236,0.5360750438875332,0.4192949536549161,1.0157796284678644
H4_k18,0.00073717150207682,0.4435554395930981,0.34167803196320695,0.3040053801816834,1.0454669367288345
H7_k20_volaware_b4,0.00073717150207682,0.4361601724039311,0.3500358591121344,0.3056658466158434,1.0473795488434352
H7_k20_volaware,0.00073717150207682,0.4361601724039311,0.3500358591121344,0.3056658466158434,1.0473795488434352
H4_k20,0.00073717150207682,0.43616008200942813,0.3500357496561484,0.3056658466158434,1.0575364606406397
H4_k21,0.00073717150207682,0.43178039143202335,0.3551475261073451,0.3064397490497012,1.0638138411004834
H4_k22,0.00073717150207682,0.4277160088194796,0.35958796670865667,0.3071773466825112,1.0701600551332258
H4_k23,0.00073717150207682,0.42412681221898474,0.36357126129460643,0.3078795736970046,1.0766044604138627
H7_lasso_lo_top20_volaware_b2,0.00029941510121268556,0.4237311467431047,0.5515852296365863,0.3113106112625724,0.9785723535685168
H4_k24,0.00073717150207682,0.4215606377315645,0.3662889304442962,0.3085473602003419,1.0831791581855295
H7_k25_volaware,0.00073717150207682,0.41976244013719805,0.3679034371003863,0.3091816307059389,1.0669527882692706
H4_k25,0.00073717150207682,0.41976226285741014,0.3679032257665891,0.3091816307059389,1.0898245713878567
H7_k30_volaware,0.00073717150207682,0.41545405645773864,0.36949214500245975,0.3118820424374791,1.0877414785479569
H4_k30,0.00073717150207682,0.4154538152176535,0.36949185693924175,0.3118820424374791,1.1233789685644688
H8_top20_b2,0.0004690907960037749,0.41225464757225705,0.5535942241990097,0.2177819580572266,1.0872641480733347
H7_k35_volaware,0.00073717150207682,0.40809568125298856,0.3737922555383079,0.3138779200732007,1.1058468947868043
H4_k35,0.00073717150207682,0.40809538419362024,0.37379191480303436,0.3138778702297765,1.1576781403107383
H6mask_ridge,0.00051164937924922,0.4038945416489795,0.3714655547900513,0.3210652171102297,1.1936189365118886
R_ridge,0.00053088891509026,0.4007639519324743,0.36754203263798413,0.3210652171102301,1.24625487890669
H4_k40,0.00073717150207682,0.39884563384430743,0.37950924021933097,0.3172933041310825,1.1908414729044767
H7_k20_volaware_b3,0.03032589121974562,0.39194480763618067,0.5312608821318562,0.3229706441659674,1.1143821151750182
H4_k45,0.00073717150207682,0.3900147839967888,0.38610056107320295,0.3239071670227647,1.2216046524930007
H6_missing_mask,0.0007161938332659799,0.38651375788004094,0.3926458304456192,0.3325353860346047,1.1976733940635662
H5_volaware,0.00073717150207682,0.38309628583495925,0.388529214636638,0.3325366653286695,1.1335984480784558
H3_d1_only,0.0007371715020768401,0.383095413392729,0.38852858884281616,0.3325353860346153,1.2493324168910187
BASE,0.00073717150207682,0.3830954133927228,0.38852858884282165,0.3325353860346042,1.249332416891018
H2_interact,0.00076606972448602,0.3804207468837929,0.40219030743132056,0.4064394611888781,1.2459840444983528
H1_scale,0.0007302398676096199,0.37801868793563576,0.3833058734987739,0.3357461328003073,1.2588788567597187
H3_none,0.0007791212391459999,0.3702578832177211,0.39844625416162693,0.3168170308439693,1.2555461535691033
H7_k20_volaware_b1,0.03424482675381622,0.2688469301470909,0.5126711260307806,0.0907414197930068,1.1073963000680702
