number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
32,0.8397895557568064,2025-10-18 20:22:26.359862,2025-10-18 20:22:28.451493,0 days 00:00:02.091631,0.9,0.04589812978533995,6,3,400,0.1,0.8,0.8,COMPLETE
33,0.7838892236414067,2025-10-18 20:22:28.451990,2025-10-18 20:22:30.379898,0 days 00:00:01.927908,0.9,0.04534139111809787,6,3,400,0.2,0.8,0.8,COMPLETE
34,0.7732836530874744,2025-10-18 20:22:30.380436,2025-10-18 20:22:31.855123,0 days 00:00:01.474687,0.8,0.07300429437679848,6,1,300,0.30000000000000004,0.9,0.8,COMPLETE
35,0.8180549239359917,2025-10-18 20:22:31.855561,2025-10-18 20:22:34.326506,0 days 00:00:02.470945,0.7,0.04081563138962831,7,2,400,0.1,0.4,0.8,COMPLETE
36,0.7643510556424159,2025-10-18 20:22:34.326979,2025-10-18 20:22:35.402936,0 days 00:00:01.075957,0.9,0.05194148056383454,4,2,300,0.2,1.0,0.8,COMPLETE
37,0.763478827574173,2025-10-18 20:22:35.403366,2025-10-18 20:22:36.921729,0 days 00:00:01.518363,0.7,0.027148103356474537,6,1,350,0.30000000000000004,0.2,0.9,COMPLETE
38,0.5835488114390661,2025-10-18 20:22:36.922161,2025-10-18 20:22:37.730684,0 days 00:00:00.808523,0.8,0.022764930583223156,3,3,400,0.6000000000000001,0.8,0.8,COMPLETE
39,0.7562909738813316,2025-10-18 20:22:37.731151,2025-10-18 20:22:40.885273,0 days 00:00:03.154122,0.7,0.06414342943021109,8,1,450,0.1,1.0,0.7,COMPLETE
40,0.7440263744453796,2025-10-18 20:22:40.885741,2025-10-18 20:22:42.048251,0 days 00:00:01.162510,0.9,0.08547783443609382,5,3,300,0.30000000000000004,0.30000000000000004,0.9,COMPLETE
41,0.7540571659546349,2025-10-18 20:22:42.048695,2025-10-18 20:22:44.485935,0 days 00:00:02.437240,0.7,0.039026944295328436,7,2,400,0.1,0.4,0.8,COMPLETE
42,0.7807990989966956,2025-10-18 20:22:44.486422,2025-10-18 20:22:46.859418,0 days 00:00:02.372996,0.6,0.05046731828335074,7,1,350,0.0,0.2,0.8,COMPLETE
43,0.8088544093925281,2025-10-18 20:22:46.859888,2025-10-18 20:22:49.336849,0 days 00:00:02.476961,0.7,0.03552248988083221,7,2,400,0.1,0.4,0.8,COMPLETE
44,0.6179084495550297,2025-10-18 20:22:49.337353,2025-10-18 20:22:50.674827,0 days 00:00:01.337474,0.7,0.04077411484890652,8,2,450,0.7000000000000001,0.2,0.8,COMPLETE
45,0.7410063973327089,2025-10-18 20:22:50.675308,2025-10-18 20:22:52.855091,0 days 00:00:02.179783,0.8,0.058640695686741316,6,3,400,0.0,0.1,0.7,COMPLETE
46,0.7782493193220329,2025-10-18 20:22:52.855539,2025-10-18 20:22:54.906556,0 days 00:00:02.051017,0.7,0.048621129105728494,7,4,350,0.2,0.30000000000000004,0.8,COMPLETE
47,0.8493390230836336,2025-10-18 20:22:54.907012,2025-10-18 20:22:55.968316,0 days 00:00:01.061304,0.6,0.03315065348484454,6,1,200,0.1,0.7000000000000001,0.9,COMPLETE
48,0.8692526883829229,2025-10-18 20:22:55.968758,2025-10-18 20:22:56.771272,0 days 00:00:00.802514,0.6,0.03394700595904586,6,1,150,0.0,0.7000000000000001,1.0,COMPLETE
49,0.8142851393888546,2025-10-18 20:22:56.771728,2025-10-18 20:22:57.557607,0 days 00:00:00.785879,0.6,0.024339357356922185,5,1,150,0.0,0.7000000000000001,1.0,COMPLETE
50,0.5279843645513927,2025-10-18 20:22:57.558018,2025-10-18 20:22:57.901696,0 days 00:00:00.343678,0.6,0.02082922952696966,3,1,150,0.5,0.6000000000000001,1.0,COMPLETE
51,0.8712296431425638,2025-10-18 20:22:57.902147,2025-10-18 20:22:58.910712,0 days 00:00:01.008565,0.6,0.03377226959847387,6,1,200,0.1,0.7000000000000001,1.0,COMPLETE
52,0.8573641573481897,2025-10-18 20:22:58.911153,2025-10-18 20:22:59.940929,0 days 00:00:01.029776,0.6,0.033844335855187625,6,1,200,0.0,0.7000000000000001,1.0,COMPLETE
53,0.9206925261923481,2025-10-18 20:22:59.941351,2025-10-18 20:23:01.023814,0 days 00:00:01.082463,0.6,0.03478624078576684,6,1,200,0.0,0.7000000000000001,1.0,COMPLETE
54,0.8642281608699224,2025-10-18 20:23:01.024256,2025-10-18 20:23:01.891677,0 days 00:00:00.867421,0.6,0.02723158878362356,6,1,150,0.0,0.7000000000000001,1.0,COMPLETE
55,0.8976860661226563,2025-10-18 20:23:01.892123,2025-10-18 20:23:02.665424,0 days 00:00:00.773301,0.6,0.027271937198721702,6,1,150,0.0,0.6000000000000001,1.0,COMPLETE
56,0.7857148093958838,2025-10-18 20:23:02.665865,2025-10-18 20:23:03.198077,0 days 00:00:00.532212,0.6,0.027694184783716012,6,1,100,0.0,0.6000000000000001,1.0,COMPLETE
57,0.8732238937583993,2025-10-18 20:23:03.198503,2025-10-18 20:23:03.995626,0 days 00:00:00.797123,0.6,0.01937298838579128,6,1,150,0.0,0.5,1.0,COMPLETE
58,0.8671469848192636,2025-10-18 20:23:03.996070,2025-10-18 20:23:04.822043,0 days 00:00:00.825973,0.6,0.020107286981170265,6,2,150,0.0,0.5,1.0,COMPLETE
59,0.7597919635898451,2025-10-18 20:23:04.822507,2025-10-18 20:23:06.107475,0 days 00:00:01.284968,0.6,0.015046775536336097,6,10,250,0.0,0.5,1.0,COMPLETE
60,0.8559434894811377,2025-10-18 20:23:06.107895,2025-10-18 20:23:07.004454,0 days 00:00:00.896559,0.6,0.01756209983925253,5,1,200,0.1,0.6000000000000001,1.0,COMPLETE
61,0.8919024742175004,2025-10-18 20:23:07.004865,2025-10-18 20:23:07.765957,0 days 00:00:00.761092,0.6,0.02105014987231088,6,2,150,0.0,0.5,1.0,COMPLETE
62,0.9039195248965305,2025-10-18 20:23:07.766396,2025-10-18 20:23:08.564371,0 days 00:00:00.797975,0.6,0.024407127400286877,6,1,150,0.0,0.5,1.0,COMPLETE
63,0.6520970785610153,2025-10-18 20:23:08.564820,2025-10-18 20:23:09.100971,0 days 00:00:00.536151,0.6,0.012427982107762489,6,2,100,0.0,0.5,1.0,COMPLETE
64,0.8666265666197862,2025-10-18 20:23:09.101388,2025-10-18 20:23:10.127480,0 days 00:00:01.026092,0.6,0.01955767372161733,6,1,200,0.1,0.4,1.0,COMPLETE
