mse,vol_ratio,sharpe,strat_vol,mkt_vol,pos_mean,pos_std,fold,experiment,n_features
0.0001245775760149773,1.1287682646516222,0.7071583150953918,0.012504084673261383,0.011077636628206045,0.5618327856063843,0.6667858362197876,1,All_754_features,754
0.0001439331620955672,1.4179148804038104,0.7251560734317274,0.016837669341020465,0.011874950727807608,0.8404011726379395,0.6233901977539062,2,All_754_features,754
0.00011176587816295079,1.410203241288892,0.7339338131955052,0.0146010735960968,0.01035387890808687,0.9394471645355225,0.5808603167533875,3,All_754_features,754
0.00012348398463524115,1.2370877976911594,0.5869425970561204,0.013704009100010336,0.011077636628206045,0.9467258453369141,0.6977278590202332,1,Top_50_features,50
0.00014082029197725785,1.414645696576869,0.975550894603198,0.01679884794415539,0.011874950727807608,1.020896553993225,0.5624431371688843,2,Top_50_features,50
0.00010824040722190199,1.3094272538157616,0.9649364683912265,0.013557651224957128,0.01035387890808687,0.9931148290634155,0.4661269187927246,3,Top_50_features,50
0.00012278423019712815,1.2898555469570647,0.7318841118588992,0.014288551052066322,0.011077636628206045,1.0579020977020264,0.6699857115745544,1,Top_20_features,20
0.0001429220313923361,1.4606375037247854,0.9944026051191863,0.017344998387919728,0.011874950727807608,1.046370029449463,0.5374006628990173,2,Top_20_features,20
0.00010906491182892818,1.2628842969488687,0.8961056964094217,0.013075751085533008,0.01035387890808687,1.0210039615631104,0.4858516454696655,3,Top_20_features,20
0.00012453914345836835,1.2619420284886735,0.49716267824149296,0.013979335237458767,0.011077636628206045,0.889184296131134,0.6350836753845215,1,Significant_57_features,57
0.00014168377444555326,1.4733827335696323,0.7500911810522877,0.017496347364341868,0.011874950727807608,1.0294796228408813,0.547770082950592,2,Significant_57_features,57
0.00010999620866561018,1.367737280426241,0.8200357550771193,0.014161386179609353,0.01035387890808687,1.008798360824585,0.4398638606071472,3,Significant_57_features,57
