mse,vol_ratio,sharpe,fold,n_features,experiment
0.00012424430594498687,1.3187542627434123,0.5726703141380657,1,20,baseline
0.00014363901178493683,1.463727947283149,1.0629290929384618,2,20,baseline
0.00010962172754832737,1.2651905981810712,0.9206676005161243,3,20,baseline
0.00012492392862082204,1.2411023812113244,0.6976053134639769,1,20,optimized
0.0001440938712679344,1.4842056333800997,1.1419923729326782,2,20,optimized
0.00010938234625610885,1.3181205651995849,1.163164995310505,3,20,optimized
