feature,importance
V7_vol_norm_60_SUB_E19_lag5,0.001787562
V7_vol_norm_60_X_V13_lag1,0.0017845059
M4_ADD_I2_trend,0.0017839229
V10_lag40_SUB_P10,0.0017767145
S2_ema_60_SUB_M2_rolling_mean_10,0.0017697517
V13_lag1_SUB_M4_vol_norm_5,0.001768745
D8_trend_DIV_E19_vol_norm_20,0.0017666153
M4_vol_norm_20_ADD_V7_vol_norm_60,0.001765236
M4_X_V7_vol_norm_60,0.0017585709
S2_ema_60_X_E19_vol_regime_60,0.0017531798
V7_vol_norm_60_SUB_V13_lag1,0.001742033
M4_ADD_S2_ema_60,0.0017402599
E12_rolling_mean_5_ADD_E19_lag5,0.0017365429
E19_vol_regime_60_X_E19_vol_norm_20,0.0017278369
M2_rolling_mean_10_ADD_V10_lag40,0.0017227053
E19_vol_regime_60_SUB_V13_lag1,0.0017221872
I2_trend_SUB_D8_trend,0.0017208357
E19_lag5_ADD_E19_vol_norm_20,0.0017206109
M4_SUB_E19_vol_regime_60,0.0017184659
E12_rolling_mean_5_ADD_P10,0.0017181131
V13_lag1_SUB_M2_rolling_mean_10,0.0017178819
E19_vol_norm_20_X_M4_vol_norm_5,0.0017162086
M4_SUB_E12_rolling_mean_5,0.0017143155
E19_vol_regime_60_X_P10,0.0017133747
M4_SUB_S2_ema_60,0.0017080655
V13_lag1_SUB_E19_vol_norm_20,0.0017005727
E19_vol_norm_20_X_V13,0.0016999705
M4_vol_norm_20_SUB_E19_rolling_std_5,0.0016960823
E19_vol_regime_60_ADD_E12_rolling_mean_5,0.0016958208
P8_trend_SUB_V13,0.0016934341
D8_trend_ADD_V13,0.001690772
M2_rolling_mean_10_DIV_P7,0.0016903419
M2_rolling_mean_10_ADD_P7,0.0016885365
S2_ema_60_X_E19_lag5,0.0016872501
D8_trend_SUB_S2_ema_60,0.0016862743
V10_lag40_X_M4_vol_norm_5,0.001684666
I2_trend_X_M2_rolling_mean_10,0.0016812301
P8_trend_X_S2_ema_60,0.0016793386
E19_lag5_DIV_V10_lag40,0.0016756445
V7_vol_norm_60_ADD_P8_trend,0.001673068
E19_rolling_std_5_X_E12_rolling_mean_5,0.0016730429
V13_lag1_DIV_V13,0.0016700602
M4_vol_norm_20_SUB_E19_vol_norm_20,0.0016689458
D8_trend_ADD_E19_lag5,0.001663675
S2_ema_60_ADD_E19_vol_regime_60,0.0016592729
V13_lag1_X_M4_vol_norm_5,0.0016534359
E19_rolling_std_5_X_P10,0.0016533075
M4_SUB_V13_lag1,0.0016491993
M4_vol_norm_5_DIV_P10,0.0016462377
V13_vol_norm_20_ADD_V7_vol_norm_60,0.001643583
P8_trend_X_E19_vol_norm_20,0.0016432585
I2_trend_SUB_M4_vol_norm_5,0.0016429523
E12_rolling_mean_5_X_V13,0.0016428281
P8_trend_DIV_M4_vol_norm_5,0.0016375948
V10_lag40_DIV_P10,0.0016362377
V7_vol_norm_60_X_P8_trend,0.0016325123
E19_rolling_std_5_X_M2_rolling_mean_10,0.0016292039
E12_rolling_mean_5_DIV_P10,0.0016280969
E19_vol_regime_60_X_V13,0.0016265947
M4_X_S2_ema_60,0.001626579
P8_trend_DIV_V10_lag40,0.0016229986
E19_rolling_std_5_SUB_E19_lag5,0.0016209554
P8_trend_SUB_E12_rolling_mean_5,0.0016208963
V13_vol_norm_20_X_M4_vol_norm_5,0.0016186243
E19_vol_norm_20_ADD_V10_lag40,0.0016170344
E19_vol_regime_60_DIV_P10,0.0016136992
V7_vol_norm_60_SUB_P7,0.0016135162
V7_vol_norm_60_ADD_E19_vol_regime_60,0.0016121098
E19_lag5_DIV_P10,0.0016116257
E19_rolling_std_5_ADD_E19_lag5,0.0016088046
E19_lag5_SUB_M4_vol_norm_5,0.0016070718
M2_rolling_mean_10_SUB_P7,0.0016067921
V13_lag1_DIV_E19_vol_norm_20,0.0016066865
I2_trend_ADD_E19_rolling_std_5,0.0016049272
D8_trend_SUB_V13_lag1,0.0016035507
D8_trend_X_P8_trend,0.0016014234
V7_vol_norm_60_DIV_M2_rolling_mean_10,0.0015954078
D8_trend_SUB_P8_trend,0.0015948135
M4_vol_norm_20_X_P10,0.0015936173
E19_vol_regime_60_ADD_V13,0.0015930989
D8_trend_DIV_S2_ema_60,0.0015930191
V13_vol_norm_20_DIV_M2_rolling_mean_10,0.0015919859
E19_rolling_std_5_SUB_M4_vol_norm_5,0.0015914568
V10_lag40_ADD_M4_vol_norm_5,0.0015872893
M4_SUB_V13,0.0015861344
M4_X_V13,0.0015857156
E19_vol_regime_60_SUB_E19_vol_norm_20,0.001583978
V13_vol_norm_20_SUB_E19_lag5,0.0015815143
V13_lag1_ADD_P10,0.001581348
E19_rolling_std_5_ADD_S2_ema_60,0.001580583
M2_rolling_mean_10_ADD_E12_rolling_mean_5,0.0015784415
V10_lag40_X_P10,0.0015756192
V7_vol_norm_60_ADD_P10,0.0015725591
E12_rolling_mean_5_DIV_E19_lag5,0.0015719392
P8_trend_DIV_V13,0.0015668221
P7_ADD_M4_vol_norm_5,0.0015661651
E19_lag5_SUB_P10,0.0015635969
M2_rolling_mean_10_X_V10_lag40,0.001561877
I2_trend_ADD_E19_vol_norm_20,0.001561757
P7_ADD_V13,0.0015571791
M4_vol_norm_20_DIV_V13_vol_norm_20,0.0015553274
S2_ema_60_X_V10_lag40,0.0015548322
E19_rolling_std_5_X_P7,0.0015532722
M2_rolling_mean_10_X_P10,0.0015497117
I2_trend_ADD_V7_vol_norm_60,0.0015480533
V7_vol_norm_60_ADD_E19_lag5,0.0015477098
I2_trend_X_E12_rolling_mean_5,0.0015476476
V13_lag1_DIV_P7,0.0015455148
E19_vol_regime_60_X_E12_rolling_mean_5,0.0015447123
V7_vol_norm_60_SUB_P8_trend,0.0015432831
D8_trend_ADD_P8_trend,0.0015405838
M4_vol_norm_20_SUB_D8_trend,0.0015404088
M4_vol_norm_5_X_P10,0.0015346123
M2_rolling_mean_10_ADD_M4_vol_norm_5,0.0015316292
E19_lag5_DIV_V13,0.0015305578
P8_trend_X_V13_lag1,0.0015291024
M2_rolling_mean_10_DIV_P10,0.0015267846
D8_trend_DIV_P8_trend,0.0015262286
V7_vol_norm_60_SUB_V10_lag40,0.001524977
P8_trend_DIV_E12_rolling_mean_5,0.0015238615
M4_vol_norm_20_ADD_E19_lag5,0.0015235492
V7_vol_norm_60_ADD_M2_rolling_mean_10,0.0015220373
D8_trend_X_S2_ema_60,0.0015205428
V7_vol_norm_60_SUB_M4_vol_norm_5,0.0015200449
E19_vol_regime_60_ADD_V13_lag1,0.0015197452
S2_ema_60_ADD_E19_vol_norm_20,0.0015126842
V13_lag1_X_M2_rolling_mean_10,0.0015123787
E19_lag5_DIV_M4_vol_norm_5,0.0015118897
I2_trend_DIV_V7_vol_norm_60,0.0015112208
V13_vol_norm_20_ADD_E19_vol_norm_20,0.0015100508
V13_lag1_SUB_V13,0.0015087152
V7_vol_norm_60_DIV_M4_vol_norm_5,0.0015078895
E19_lag5_X_M4_vol_norm_5,0.0015078859
E19_vol_norm_20_X_V10_lag40,0.0015068564
E19_rolling_std_5_X_M4_vol_norm_5,0.001505204
S2_ema_60_DIV_M2_rolling_mean_10,0.0015045969
M4_vol_norm_20_ADD_P10,0.0015041318
V13_vol_norm_20_X_E19_lag5,0.0014985412
V13_lag1_X_E19_lag5,0.0014972637
M2_rolling_mean_10_DIV_V13,0.0014932336
S2_ema_60_ADD_V13,0.0014851387
M4_X_P10,0.0014848835
V13_lag1_X_P10,0.0014825342
E19_rolling_std_5_ADD_V13,0.0014820662
S2_ema_60_X_M2_rolling_mean_10,0.0014805675
D8_trend_DIV_P10,0.0014805259
D8_trend_ADD_V13_lag1,0.0014784774
M2_rolling_mean_10_ADD_E19_lag5,0.0014784525
P8_trend_X_M4_vol_norm_5,0.0014761614
P8_trend_X_E12_rolling_mean_5,0.0014750707
V13_vol_norm_20_ADD_P7,0.0014748411
M4_vol_norm_20_ADD_V13_vol_norm_20,0.0014738629
E19_vol_regime_60_X_M4_vol_norm_5,0.0014715084
V7_vol_norm_60_DIV_P8_trend,0.001470453
E19_vol_norm_20_DIV_P7,0.0014691615
P7_X_P10,0.0014690034
P8_trend_X_E19_lag5,0.0014686856
E19_lag5_DIV_P7,0.0014677185
S2_ema_60_SUB_E19_vol_norm_20,0.0014662005
S2_ema_60_X_V13_lag1,0.0014652361
I2_trend_SUB_P7,0.0014636309
E19_vol_regime_60_X_P7,0.0014633664
E19_rolling_std_5_ADD_M4_vol_norm_5,0.0014608066
I2_trend_X_D8_trend,0.0014580635
E19_vol_regime_60_ADD_P10,0.0014575536
I2_trend_ADD_P8_trend,0.0014574963
V13_lag1_SUB_P10,0.0014566464
M4_ADD_E19_rolling_std_5,0.0014505205
P8_trend_ADD_E19_vol_norm_20,0.0014493152
M4_vol_norm_20_DIV_E19_vol_regime_60,0.0014483916
S2_ema_60_DIV_E12_rolling_mean_5,0.0014469414
D8_trend_X_M4_vol_norm_5,0.0014465215
E19_rolling_std_5_X_S2_ema_60,0.0014428825
D8_trend_SUB_E19_vol_norm_20,0.0014428803
E19_vol_regime_60_DIV_E19_lag5,0.0014410892
V13_lag1_DIV_E12_rolling_mean_5,0.0014366899
M2_rolling_mean_10_X_V13,0.0014357768
I2_trend_DIV_P7,0.0014333319
M2_rolling_mean_10_X_P7,0.0014313456
E19_lag5_SUB_V13,0.0014295027
D8_trend_SUB_E19_vol_regime_60,0.0014285147
M2_rolling_mean_10_SUB_P10,0.0014269797
M2_rolling_mean_10_DIV_E19_vol_norm_20,0.0014266277
S2_ema_60_DIV_M4_vol_norm_5,0.0014263501
P8_trend_DIV_V13_lag1,0.0014262577
