fold,sharpe,pos_mean,pos_std,pred_std
1,0.493090190834966,0.9885117,0.18087773,0.0007235109
2,0.3079611639737918,1.031837,0.42933607,0.0018755596
3,0.4448282113784393,1.0124743,0.5076955,0.0024142787
4,0.8839542418987201,0.93231755,0.3789975,0.0018271774
5,0.6965456054109795,0.9974072,0.39741078,0.0021466548
