strategy,avg_sharpe,std_sharpe,fold1,fold2,fold3,fold4,fold5
Baseline (return only),0.5589962472925161,0.362038388569047,0.46362855087168336,0.4479435795251711,0.049302387401509114,1.1596782340612275,0.674428484602989
"Weighted (ret=0.7, risk=0.3)",0.43290763799171933,0.2455711838307493,0.4268233776964507,0.19280995130746256,0.3552458712316753,0.8992743903558256,0.2903845993671827
"Weighted (ret=0.5, risk=0.5)",0.3409494668345759,0.24636258846727527,0.365794854389438,-0.03752792877800453,0.6992517531387991,0.4635518292646274,0.21367682615801925
Return/Risk ratio,0.3160856946214701,0.4802606470484849,0.21551601528231024,0.20668483513057267,-0.3836957640864404,1.108341448706245,0.43358193807466305
Return/Risk (scaled x20),0.2919149591266686,0.5064642302648428,0.2095807780278665,0.1499311009559446,-0.4505877204274761,1.119498508235275,0.4311521288417329
Sharpe-focused,0.28717396096769593,0.5023066948574274,0.19645720285076243,0.1451130955457999,-0.45608706172595004,1.0948701455237577,0.45551642264410985
