strategy,avg_sharpe,std_sharpe,fold1,fold2,fold3,fold4,fold5
Target Volatility (0.015),0.5740474289829571,0.33508009377906794,0.44518675451875894,0.47864162042392244,0.11337952000853568,1.1273504870585545,0.7056787629050136
Target Volatility (0.01),0.5723228026676481,0.30684109263076326,0.41847001972549513,0.4295734226368023,0.22522837307741553,1.1167267342684362,0.6716154636300913
Baseline (EXP-016),0.5589962472925161,0.362038388569047,0.46362855087168336,0.4479435795251711,0.049302387401509114,1.1596782340612275,0.674428484602989
Vol-Adjusted K,0.5457989822312143,0.2780734152478029,0.45341228710493037,0.32920556651275157,0.23427210355716016,1.0002964612875274,0.7118084926937018
Inverse Vol Scaling,0.5256375561876164,0.2959478741865161,0.4329489264314001,0.344743671450834,0.20634982255055315,1.0659166048707804,0.5782287556345146
