strategy,avg_sharpe,std_sharpe,fold1,fold2,fold3,fold4,fold5
CI-based (scaled x5),0.6367527906146615,0.2834040874640873,0.579539604930859,0.4785744434131177,0.35184549487197275,1.1758433924448888,0.5979610174124695
CI-based (q90-q10),0.6332910409261177,0.2446420503617068,0.6102324668803447,0.41725325696272925,0.3782634039212725,1.0605283492119388,0.7001777276543036
CI-based (scaled x2),0.6262314131683357,0.2589181345504839,0.5947730535675234,0.42642852849238755,0.36561069259838613,1.1017209604105307,0.642623830772851
Baseline (median only),0.6261784022413561,0.2151021659324629,0.6239261115038837,0.3974880017667951,0.3922541094293504,0.9488036501848425,0.7684201383219094
Asymmetric (upside focus),0.5899493564602621,0.2895757061652095,0.650702528831207,0.5541218699804349,0.18246706565645143,1.0770986578037236,0.48535666002949396
