K,cv_sharpe,cv_std
400,0.8093089088338496,0.27133985987788634
350,0.7927833344905482,0.2710704512205793
300,0.7705784819438856,0.2685850562440008
250,0.7401726533404827,0.26427015127755754
200,0.7113399143290675,0.2553715228893699
150,0.6840642206154856,0.2440732271706781
