learning_rate,max_depth,cv_sharpe,cv_std
0.05,4,0.7401726533404827,0.26427015127755754
0.05,6,0.6877689891166281,0.318605006958564
0.03,5,0.6685773447557898,0.20490930961670994
0.03,4,0.6624494967692386,0.230643067587612
0.03,6,0.6472899999215614,0.21416549040348093
0.02,4,0.6342044611118534,0.2035953272370684
0.03,7,0.6329113933398676,0.19506961440693768
0.05,5,0.6248637199478007,0.16824745889676024
0.02,5,0.6202302864409495,0.21538845870519965
0.01,7,0.608598124834,0.22036252130428752
0.02,6,0.5995028233971,0.21671063578583644
0.01,5,0.5977293756343718,0.2199332354466368
0.01,4,0.5973343780321599,0.22919066646484773
0.02,7,0.5972158839602791,0.22151865736721751
0.01,6,0.5869031489020131,0.21279499228759288
0.05,7,0.5667000510058305,0.24121568783621947
