feature,importance,abs_correlation,combined_score
V13*I2*S5,0.006886535260822658,0.07022640846427353,0.025888497221857917
E19*P7,0.007941418680421225,0.06704473218687146,0.025672412732356296
M4*I2*S5,0.003512822260698254,0.07345736536980062,0.024496185193428964
V13²,0.005070086119048751,0.06313861765442037,0.022490645579660233
M4*V7,0.006441825534202579,0.05958932720785178,0.022386076036297338
V7*P7,0.008535806266995979,0.053842077024925286,0.02212768749437477
V13³,0.0033628399653371785,0.06201915948045895,0.020959735819873707
V13*P7,0.006599230440874957,0.05430082856351473,0.02090970987766689
M4*V13*V7,0.00546292538865607,0.05687231105605872,0.020885741088876867
M4*V13,0.004876698461961773,0.05821042991164847,0.02087681789686778
M4*V13*S5,0.00460780664631886,0.05830175843642282,0.020715992183350046
V13*E19,0.006251798339661452,0.05398252317257434,0.020571015789535317
V13*V7,0.004744730411653279,0.057309251115424745,0.02051408662278472
V13*V7*E19,0.006484376836724995,0.05236423875793179,0.02024833541308703
M4*V13*E19,0.004176479353419664,0.05714325786648428,0.02006651290733905
market_turbulence,0.005567131212637769,0.05170521437404841,0.01940855616106096
M4*E19,0.004800371434067622,0.05312952768067534,0.019299118308049937
M4*V7*E19,0.004930407268271304,0.051409203874863245,0.018874046250248886
M4*V13*S2*I2,0.005562242443305373,0.04947480442434912,0.018736011037618495
V13⁴,0.0019234645932467616,0.057961444438495706,0.018734858546821442
M4*V13*V7*S2,0.004610411056898851,0.04917896985315345,0.01798097869577523
vol_mean_V,0.006492411414863044,0.04168620655923497,0.01705054995817462
vol_composite_V_all,0.005890224511633614,0.04270136098376891,0.0169335654532742
M4*V13*S2,0.003257759195834839,0.04832375523766144,0.01677755800838282
M4*S2*I2,0.00633425117418818,0.04085231720304378,0.016689670982844858
M4*V13*V7*I2,0.010481044895246625,0.03040306028983356,0.016457649513622705
V13*S2*E19,0.004688177665935938,0.04304930407997433,0.016196515590147457
M_min,0.0037282895652284757,0.04479723763990895,0.016048973987632616
vol_composite_V,0.00421934704871911,0.04355911873381169,0.016021278554246884
V_max,0.0037676464134546003,0.04398312118858582,0.015832288845993966
M4*V7*S2*I2,0.0072333042990432046,0.035776517662554984,0.015796268308096738
V_mean,0.005525022794380343,0.039070895930960935,0.01558878473535452
cross_vol_MV,0.0028145135507800794,0.045160130729293806,0.015518198704334197
P_max,0.00447296515838389,0.04080881354546266,0.01537371967450752
V13*V7*S2,0.0050501451211687086,0.03873840696864393,0.015156623675411275
S2³,0.00406501268836419,0.03972496712076231,0.014762999018083625
M4*S2*E19,0.003226191138244186,0.04134603188856348,0.014662143363339973
M4*V13*I2,0.008076462861856966,0.029688158096607607,0.014559971432282156
V_range,0.0036414265439949057,0.040032389878229026,0.014558715544265141
V13*P5,0.003391238667483728,0.040089476546115665,0.014400710031073308
P8*I2*E19,0.0073200158164074955,0.030870550132639427,0.014385176111277074
M4*V7*S2,0.005339296383112227,0.03536574513549092,0.014347231008825834
M4*V13*V7*P8,0.004223779361512584,0.036915316439416916,0.014031240484883883
V7*P8*I2,0.007513306993190659,0.028814065495071397,0.01390353454375488
V_std,0.002395964385701793,0.040552523215830964,0.013842932034740544
M4*E19*S5,0.00460484067939398,0.03520426942428515,0.013784669302861331
V7*S2*E19,0.005824563874515511,0.032183059744113084,0.013732112635394781
P_mean,0.00430789738525449,0.03523989776705154,0.013587497499793605
M4*P5,0.0038381724786950727,0.036236364313279854,0.013557630029070506
M4*S2*S5,0.0027198811649007987,0.03880469918306678,0.013545326570350593
P_min,0.004052357285446205,0.035559186263781566,0.013504405978946813
M4*P7,0.004441731841613771,0.03447499572493917,0.01345171100661139
S5*P5,0.0036544486560783074,0.035895046370343,0.013326627970357715
S2*E19*S5,0.004317571359255484,0.03392058212327215,0.013198474588460483
M4³,0.005642742185299902,0.030791889369633427,0.01318748634059996
I2*E19,0.007663272902740767,0.025868147496121055,0.013124735280754852
V7²,0.00501865258053213,0.03155847880386754,0.012980600447532752
V7³,0.0049081521416189005,0.03156247109315176,0.012904447827078757
V13*E19*S5,0.005767625621884071,0.029499403602291013,0.012887159016006153
V13*P8*I2,0.0035244660556337545,0.034666934617981,0.012867206624337928
M4*P8,0.0036449127904690575,0.03430223370131881,0.012842109063723982
V13*S2*S5,0.0026635885388428945,0.035339161318483865,0.012466260372735185
V7⁴,0.003684688967014793,0.032914725223166574,0.012453699843860326
V7*E19,0.00514013396687108,0.029466728129932524,0.012438112215789512
sentiment_dispersion,0.0030421786783139623,0.034191601876993674,0.012387005637917876
V7*S2*S5,0.004038831681938769,0.030688426692616105,0.012033710185141969
V7*E19*S5,0.005395886758525491,0.027491635647959308,0.012024611425355635
E19*S5,0.004806031145791367,0.02886671448787496,0.012024236148416445
total_volatility,0.004929541881270804,0.028536343767602952,0.012011582447170446
V13*S2,0.0020998617628858753,0.034203635482900535,0.011730993878890272
ratio_V7_to_S2,0.002213650725402566,0.03381966280888978,0.01169545435044873
ratio_V13_to_S2,0.0025456452555105633,0.032081850901625825,0.011406506949345141
M4*V7*P8*I2,0.0032582842983782234,0.030304556980162545,0.01137216610291352
M4*V7*S5,0.00443512785560878,0.027328641855660325,0.011303182055624243
V13/S2,0.0022755564043066673,0.032081850901625825,0.011217444753502413
V7*S5,0.004320807760719371,0.027305365193307764,0.011216174990495887
M4*P8*I2,0.0032790470050216612,0.02951648567793202,0.011150278606894768
V7*S2,0.003033827358982415,0.029970451210655964,0.01111481451448448
V7*P8*E19,0.006082006245170024,0.022701112170250597,0.011067738022694194
V7/S2,0.0012430540262596474,0.03381966280888978,0.011016036661048688
M_mean,0.0035261650989928837,0.0284029408843237,0.010989197834592127
S2*I2*S5,0.0038714642529993856,0.027310954381463925,0.010903311291538747
market_vol_composite,0.003679486318862891,0.027065071085206963,0.010695161748766113
normalized_market,0.0021476839966434965,0.030618045896938798,0.010688792566732086
S_range,0.0024906237726216407,0.029647212862855706,0.01063760049969186
V13*V7*P8*I2,0.005387710682985147,0.02240646700723688,0.010493337580260668
M4*S2,0.0032123044911793555,0.027242279124061828,0.010421296881044097
S_std,0.001993659773027138,0.0300611696215331,0.010413912727578925
V7*I2,0.007875014715927125,0.016093221865804447,0.01034047686089032
S2*S5,0.0024991230776269698,0.02855933964676648,0.010317188048368823
S2*E19,0.0033862247905428245,0.026291267339916654,0.010257737555354973
S_max,0.0033785526379890326,0.025891048087378958,0.01013230127280601
V13*P8*E19,0.0028930200796161987,0.02694196907435614,0.010107704778038181
P8³,0.0048724998724705895,0.022256474305607735,0.010087692202411732
(V7*S2)/I2,0.002072906461905914,0.02875126373251065,0.010076413643087334
V13*V7*P8,0.005510383828323757,0.02000958720254568,0.009860144840590335
ratio_S2_to_P8,0.0040639442956916325,0.023124703033758492,0.009782171917111691
S5*P7,0.003460115834256951,0.0245055996765889,0.009773760986956535
(M4*P8)/S2,0.0024179617750516437,0.0266753517018225,0.0096951787530829
V13*V7*S5,0.00407137841473707,0.02203531691297265,0.009460559964207743
M4²,0.0020535039033355456,0.026661308754872676,0.009435845358796685
V7*I2*E19,0.006452479042148876,0.01630675220769872,0.009408760991813828
M_skew,0.00319702814040661,0.023771007316747216,0.009369221893308792
ratio_M4_to_P8,0.00455940892197446,0.02049705961208758,0.009340704129008396
S2/I2,0.0018130007933858689,0.026765487103631004,0.009298746686459409
(P8*S2)/I2,0.001747321644298109,0.026895537917127673,0.009291786526146978
V7/P8,0.0031349204304955258,0.023615790212882456,0.009279181365211605
V13*V7*S2*I2,0.003472834695105275,0.022796885020891396,0.009270049792841111
ratio_V7_to_P8,0.003077820685407217,0.023615790212882456,0.009239211543649787
M4*V13*P8*S2,0.003384252973200905,0.0225123299052744,0.009122676052822954
M4/P8,0.0041863081856450685,0.02049705961208758,0.009079533613577821
M4*V13*P8*I2,0.004605567754171912,0.01928908741629722,0.009010623652809503
(V13*V7)/P8,0.004377238895401756,0.01968041202415741,0.008968190834028451
V7*I2*S5,0.004060931545508945,0.020081589999889755,0.008867129081823187
M4⁴,0.004241279522578185,0.019475244500318324,0.008811469015900226
V_min,0.0037821935864764972,0.020517364953911314,0.008802744996706942
I2*E19*S5,0.006174798580493945,0.014633603916088481,0.008712440181172305
(M4*V13)/P8,0.004062812446425203,0.019469125753355045,0.008684706438504155
(V13*V7)/S2,0.0017402020422590105,0.024852413171009113,0.00867386538088404
M4*S5,0.0033792124192481964,0.020691395549406553,0.008572867358295704
P8*S5,0.002141768575521968,0.023377411830019144,0.00851246155187112
price_momentum,0.004522189778812651,0.017704510525634373,0.008476886002859167
V13*S5,0.0037456710796875707,0.01935897590694051,0.008429662527863452
M4*I2*E19,0.008020208621682052,0.009278506162224195,0.008397697883844694
V7/I2,0.0018561315250221397,0.023638330372266585,0.008390791179195473
V13*V7*P8*S2,0.003510510877839669,0.019747947272245846,0.008381741796161522
(M4*V7)/P8,0.004174219604192633,0.017967956446956836,0.008312340657021893
(V7*P8)/I2,0.0021808423866936932,0.022154033445385034,0.008172799704301095
M_range,0.004490334409879855,0.01634978420253111,0.008048169347675231
ratio_V13_to_P8,0.0024479942728587254,0.021109429690012185,0.008046424898004764
P_std,0.004741317666653381,0.015647359655006646,0.008013130263159361
P8*I2,0.003706949849133521,0.01783414090933386,0.007945107167193623
E19*P5,0.0061219915358299735,0.011837548842992316,0.007836658727978675
S2⁴,0.0030974822002732176,0.018800646167016283,0.007808431390296137
P8*S2,0.0020755339519600317,0.02092509107777614,0.007730401089704865
P8*S2*E19,0.0031307615381367254,0.018440620993673197,0.007723719374797666
V13/P8,0.0019866210298945686,0.021109429690012185,0.007723463627929854
P5*P7,0.001677761929904771,0.021480707724169313,0.007618645668184133
M4*V13*P8,0.003138421280650097,0.017282399758160465,0.007381614823903207
P_range,0.002840174917864403,0.017704510525634373,0.007299475600195393
P8²,0.00307226494781378,0.016973691490990452,0.007242692910766782
S_skew,0.0033183934414883136,0.016217583836024972,0.00718815055984931
V7*S2*I2,0.006540773611047586,0.008388509592086766,0.0070950944053593396
M_std,0.003038580036143763,0.016436378033244273,0.007057919435273916
P8/P7,0.00599998303272207,0.009505202191852998,0.007051548780461348
V13*S2*I2,0.0036773432073972903,0.014620567537068216,0.006960310506298568
S2²,0.002165063590705051,0.017938992272987005,0.006897242195389637
(M4*S2)/I2,0.002916695953304211,0.015954838114528684,0.006828138601671553
V13*I2*E19,0.008010713458158895,0.0036437170406884776,0.0067006145329177695
V7*P5,0.002250589640820365,0.0168030458089684,0.006616326491264775
S2*P5,0.002272139324550517,0.016688818046380616,0.006597142941099547
P8⁴,0.001952090953876577,0.01739154415018048,0.006583926912767748
S2/P7,0.003236551806115182,0.01402369103358743,0.006472693574356855
I2*P5,0.003103720837850264,0.014218749671871074,0.006438229488056507
M4/P7,0.0028102026143120274,0.01469762112243958,0.006376428166750293
P8*S2*S5,0.002397250554679188,0.01565881869451931,0.006375720996631225
(V13*V7)/E19,0.0035078921577390496,0.012482448256333085,0.006200258987317259
(M4*V7)/S2,0.003311497231444226,0.012831029747708635,0.006167356986323549
(M4*V13)/S2,0.0029232233812264336,0.013586649617193618,0.006122251252016589
V13*V7*I2,0.007194946665184106,0.0036061343571700015,0.006118302972779875
M4/S2,0.0022943765399619656,0.014861854681220305,0.006064619982339467
P8*S2*I2,0.0031234191368718937,0.01245186957839353,0.005921954269328384
(V13*S2)/I2,0.0022286445000468348,0.01441733192507446,0.005885250727555122
S2*I2*E19,0.008206357896614669,0.00021195482411556465,0.005808036974864937
(V13*P8)/S2,0.0016221261325689439,0.015510879965004673,0.005788752282299663
V_skew,0.0032272490004998764,0.011734126420763755,0.005779312226579039
P8*P5,0.0032984991985216304,0.011554057761869336,0.005775166767525942
ratio_M4_to_S2,0.0017525749754514744,0.014861854681220305,0.0056853588871821235
E19/P7,0.003649870099005884,0.010434020613778735,0.005685115253437739
P_cv,0.003392926757764782,0.01079052870235678,0.005612207341142381
V13*P8,0.003852846888696035,0.009613320157517459,0.005580988869342462
M4*V7*I2,0.007432741229823182,0.0010877114659327814,0.005529232300656061
V7*P8*S5,0.0035577302032193236,0.010103222597588115,0.005521377921529961
M4*V7*P8,0.006281128619744999,0.0035039477756160214,0.005447974366506305
V13*I2,0.005323511870026047,0.005600972734604084,0.005406750129399458
M4/P5,0.0020321035501998613,0.01325611227092022,0.005399306166415969
S_cv,0.003155278518388199,0.010619116075968056,0.005394429785662156
M4*I2,0.005993163930162958,0.003907585704975962,0.005367490462606859
S_min,0.002107090985510362,0.012974286277665132,0.005367249573156793
V_cv,0.003008816640101114,0.010860102659798254,0.005364202446010256
M_max,0.0027046718223404692,0.01156607290699349,0.005363092147736375
S2*I2,0.004917503130653953,0.006085737752877539,0.0052679735173210285
(V7*P8)/S2,0.0016514081871256657,0.013154819617313622,0.005102431616182053
P_skew,0.002658419203289224,0.01070968313826465,0.005073798383781852
P5/P7,0.0031746699619614365,0.009473096639826192,0.005064197965320863
V7/S5,0.0023212783505352523,0.011431214133019599,0.005054259085280556
market_strength,0.002859048115503649,0.010153069099629607,0.005047254410741437
risk_adjusted_return,0.0021930200182606655,0.01165004920998105,0.005030128775776781
V13*P8*S2*I2,0.004014210166859398,0.007108263143108218,0.004942426059734044
ratio_P8_to_V13,0.002122778731948987,0.011311655609893122,0.004879441795332227
(V13*V7)/S5,0.0026508419903077097,0.009708183150337604,0.0047680443383166776
V13/S5,0.0021557791344518204,0.010846361680247484,0.00476295389819052
I2*S5,0.002345887740255662,0.010312579824151244,0.004735895365424336
P8/S2,0.005059014941314294,0.003941615299302618,0.00472379504871079
(M4*S2)/S5,0.003273950493581363,0.008092161020678704,0.004719413651710565
M4*V7*P8*S2,0.004427103197443027,0.005342962976056476,0.0047018611310270615
(M4*V7)/S5,0.0020252124611709406,0.010939005760436802,0.004699350450950698
M4*P8*S2,0.002039466609563942,0.010759457782747903,0.00465546396151913
I2/P5,0.0022838492289020142,0.010023014989285232,0.004605598957016979
(M4*V7)/I2,0.0020546028198613563,0.010436442969836455,0.004569154864853885
S2*P7,0.0022929177758187736,0.009830248694054395,0.0045541170512894595
(M4*V13)/S5,0.0018987596926381633,0.010705796151943694,0.004540870630429822
price_vol,0.002258446287047448,0.009471616240888173,0.004422397273199666
normalized_sentiment,0.0024593319265716358,0.008542836289765116,0.00428438323552968
S2/S5,0.0017832086168139219,0.009915631683174018,0.0042229355367219504
(V13*S2)/S5,0.001725355046726347,0.009663262140851434,0.0041067271749638725
P_kurt,0.0021451293044099816,0.008632843587113264,0.004091443589220966
M_cv,0.0023961952138833284,0.007924151670660845,0.004054582150916583
S5/P7,0.002745187462286527,0.0069909561147259176,0.004018918058018343
sentiment_to_volatility,0.0030768724764653568,0.00617279844438784,0.004005650266842102
M4/S5,0.0017639727271553407,0.009209780486282512,0.0039977150548934914
S5/P5,0.002330960864802119,0.00788361858032958,0.003996758179460358
V13/E19,0.0024108907999126853,0.007404618508745011,0.003909009112562383
P8*P7,0.0034716549288051506,0.004828854989875275,0.0038788149471261878
M4*P8*S2*I2,0.0024117379889361493,0.007282369742346488,0.0038729275149592506
M4*P8*E19,0.004117966042283663,0.0026007299262257723,0.003662795207466296
(M4*V7)/E19,0.0029990727400408595,0.005210015333424223,0.003662355518055868
V13/P7,0.003921891707714455,0.003052316649412412,0.003661019190223842
I2/P7,0.002120361740459533,0.007252027708687572,0.0036598615309279443
(V7*S2)/S5,0.0017788660365361424,0.007857302650203742,0.0036023970206364216
V7*P8*S2*I2,0.0025222428152825854,0.00600063189392436,0.0035657595388751176
(M4*P8)/I2,0.0026948867596708445,0.005508051911922231,0.0035388363053462605
(V13*P8)/E19,0.0020115444229296185,0.007090149295124503,0.0035351258845880843
M4/E19,0.0020307767095266004,0.00693167403482227,0.003501045907115301
