name,k,n_features,n_estimators,max_depth,mean_sharpe,std_sharpe,min_sharpe,max_sharpe
k250_top30,250,30,150,7,0.791649320453508,0.1851709613659478,0.5866855726271626,1.1318558950117221
k100_conservative,100,30,100,5,0.6615147878107672,0.22936948018721406,0.3833424934207503,1.0709993536032867
k250_top50,250,50,150,7,0.6337691979751955,0.2152285913888936,0.4487285120927175,1.0384511074495966
k150_top50,150,50,150,7,0.6295246802897355,0.21959885531785195,0.443312456285488,1.036857331628804
k100_top50,100,50,150,7,0.6222646318324033,0.23207668666963863,0.41639335352478296,1.0335627255169912
k350_top50,350,50,150,7,0.6175233485516107,0.21576448858061073,0.433983553875884,1.0237429703896108
k500_top50,500,50,150,7,0.596246378409682,0.21419793065763115,0.39052673179684594,1.0029547726669354
k500_aggressive,500,100,200,9,0.59577278218202,0.30011459863390827,0.1737266721776586,1.10038481663691
k300_deep,300,50,250,10,0.5391545303537402,0.26121781518568365,0.14798748412376864,0.9557223365126275
k250_top100,250,100,200,8,0.4764212099410933,0.25790361507376897,0.17158601924726577,0.8989988194287568
